"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"502","intMCs_p38_GMCSF",-38.8531805091613,-36.8611926762461,0.913163673296943,-2.843385483406e-06,-0.000143533436483544,"linear","linear"
"503","intMCs_p38_IFNa",-55.2121462771836,-59.1609165709726,0.0266243187075269,-3.89939595694384e-05,-0.00230559028178125,"quadratic","deceleration/increase"
"504","intMCs_p38_IL246",-41.0270049972994,-40.7736535836118,0.959820054679893,-3.76706925082132e-05,-0.00286183239202853,"linear","linear"
"505","intMCs_p38_LPS",-4.4630944354045,-4.31973989048448,0.418522918013965,0.000143072355188447,0.0125589999398437,"linear","linear"
"506","intMCs_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"507","intMCs_S6_GMCSF",-48.398822648134,-47.6624435870783,0.171199412119033,2.48340432801551e-05,0.00121434096600869,"linear","linear"
"508","intMCs_S6_IFNa",-44.6713587817388,-42.7525331532217,0.398352092483912,7.34277407035153e-06,0.00100050532398795,"linear","linear"
"509","intMCs_S6_IL246",-36.4212137268879,-34.449652992667,0.367067625865675,-5.84093821961948e-06,-0.00108364078558328,"linear","linear"
"510","intMCs_S6_LPS",-39.6401113819033,-37.6435315723859,0.66556288065066,1.80640777936174e-06,-0.000135825590820531,"linear","linear"
"511","intMCs_S6_unstim",-28.9505278647887,-27.0154251477368,0.671207498980072,-1.15140549394561e-05,-0.00125624168656539,"linear","linear"
"512","intMCs_STAT1_IFNa",-6.25403398996855,-4.25473293614443,0.0075730172741631,2.69072271958352e-06,0.00667366034592261,"linear","linear"
"513","intMCs_STAT1_IL246",-32.940324280036,-30.9449123592551,0.159326316462241,2.65775049740021e-06,0.00136820632563783,"linear","linear"
"514","intMCs_STAT1_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"515","intMCs_STAT3_GMCSF",-48.8038732407005,-46.855961938619,0.358486015375456,-5.07750547432396e-06,4.02452559041404e-05,"linear","linear"
"516","intMCs_STAT3_IFNa",-24.3198560089078,-23.0654050504906,0.288602767922303,4.54908547691631e-05,0.00459600792165634,"linear","linear"
"517","intMCs_STAT3_IL246",35.8465945260216,37.0968242223568,0.732251859021334,0.000391138375484516,0.0262217902884073,"linear","linear"
"518","intMCs_STAT3_unstim",-25.6615579836888,-23.6939330462716,0.764767692481046,9.15136852079801e-06,0.000997059289194798,"linear","linear"
"519","intMCs_STAT5_GMCSF",-10.0851860342435,-8.55005736790696,0.197731066312583,6.00206247319591e-05,0.00211014542766018,"linear","linear"
"520","intMCs_STAT5_IFNa",-8.97389585330073,-7.37186105056216,0.316940473756032,5.78508268210031e-05,0.00243500132120386,"linear","linear"
"521","intMCs_STAT5_IL246",-14.7037348591977,-15.2740525480824,0.17379898254143,0.000115334192673223,0.00670648758666875,"quadratic","deceleration/decrease"
"522","intMCs_STAT5_unstim",-67.9224447983259,-66.1626765036237,0.834905311351493,5.49032836772717e-06,0.000460273900874578,"linear","linear"
"523","intMCs_STAT6_IFNa",-14.4439429152703,-13.7663787497751,0.929138466258724,8.53365287915901e-05,0.00627811541407843,"linear","linear"
"524","intMCs_STAT6_IL246",-24.0105883042006,-22.8613841296967,0.193312726392152,4.90441379845316e-05,0.00221056146340179,"linear","linear"
"525","intMCs_STAT6_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"526","mDCs_CREB_GMCSF",-29.2704669978072,-29.7096785157465,0.375561109337941,-6.69326960773136e-05,-0.00484101145302566,"quadratic","deceleration/increase"
"527","mDCs_CREB_IFNa",-35.517118144518,-40.7877672038041,0.0465924298050055,-8.52319727016913e-05,-0.00592180135235796,"quadratic","deceleration/increase"
"528","mDCs_CREB_IL246",-26.3472449343194,-27.4476470474429,0.263661704871369,-8.28141503809427e-05,-0.00572904521145877,"quadratic","deceleration/increase"
"529","mDCs_CREB_LPS",-32.4113174416866,-30.4268575923344,0.257820021578303,-4.98363939394125e-06,0.000568065865954704,"linear","linear"
"530","mDCs_CREB_unstim",-50.4637769381758,-48.4689870253863,0.523840820612519,1.51467205510392e-06,-0.000159569297138304,"linear","linear"
"531","mDCs_ERK_GMCSF",-Inf,-Inf,NA,0,0,"linear","linear"
"532","mDCs_ERK_LPS",-51.0563376104409,-50.5257362234594,0.651366459750042,2.42671908770732e-05,0.00201318303258495,"linear","linear"
"533","mDCs_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"534","mDCs_IkB_GMCSF",-61.1836782221769,-59.5164657255766,0.25126922710332,8.20678529237965e-06,0.000274610950260391,"linear","linear"
"535","mDCs_IkB_IFNa",-55.7089072590146,-56.1211524203561,0.245768031327106,2.59032061570617e-05,0.00159565566522726,"quadratic","deceleration/decrease"
"536","mDCs_IkB_IL246",-47.8768789531119,-53.5286178536165,0.00509422342725757,5.58850400062144e-05,0.00306897363491655,"quadratic","deceleration/decrease"
"537","mDCs_IkB_LPS",-37.4342529138264,-35.9323378342903,0.564910815413995,-2.33793024409395e-05,-0.00136494681178444,"linear","linear"
"538","mDCs_IkB_unstim",-37.4342529138264,-35.9323378342903,0.564910815413995,2.33793024409395e-05,0.00136494681178444,"linear","linear"
"539","mDCs_MAPKAPK2_GMCSF",-35.3288758867743,-35.4507014057374,0.263456914045758,-5.0558476880249e-05,-0.00456496967012805,"quadratic","deceleration/increase"
