"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",-1037.98530003704,-1037.09520677672,0.509215953047633,-5.53131142754616e-07,-4.65423520372659e-05,"linear","linear"
"2","Bcells_CREB_IL246",-1078.48472353181,-1078.30792321498,0.828375443137782,-6.10055449619465e-07,-6.39226241191497e-05,"linear","linear"
"3","Bcells_CREB_unstim",-1175.06634043673,-1176.6272247217,0.0733982683880597,-5.9585335419367e-07,-7.09465228884987e-05,"quadratic","acceleration/decrease"
"4","Bcells_ERK_IL246",-852.352738551557,-854.355637589159,0.095217366775157,-2.06758774435483e-06,-0.000232187063321757,"quadratic","acceleration/decrease"
"5","Bcells_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",-673.790235660492,-674.083078407747,0.0833328673319543,3.02642034939022e-06,0.000391637152727976,"quadratic","acceleration/increase"
"7","Bcells_IkB_IL246",-669.267038984385,-667.711529893243,0.948787705921066,-1.35946722284821e-06,-0.000140148237787839,"linear","linear"
"8","Bcells_IkB_unstim",-458.532066585394,-462.761984380949,0.00498866928019454,-1.09283106304454e-05,-0.001347464595682,"quadratic","acceleration/decrease"
"9","Bcells_MAPKAPK2_IFNa",-573.343422912938,-571.604764342205,0.265147858666822,-1.48369976364735e-06,-6.44285728714348e-05,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",-584.076886225275,-583.478595411102,0.53728804081377,-3.29627608474003e-06,-0.000376557986465547,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",-538.17094882825,-538.3569470085,0.00323788144965328,-4.86621667426721e-06,-0.000220340055522611,"quadratic","deceleration/increase"
"12","Bcells_MAPKAPK2_unstim",-307.58919890835,-307.743308491734,0.185945749717729,-1.12768810305681e-05,-0.00136126909996175,"quadratic","acceleration/decrease"
"13","Bcells_NFkB_IFNa",-550.806651810693,-548.84069082891,0.10769046877782,5.81963364880627e-07,0.000191839959350665,"linear","linear"
"14","Bcells_NFkB_IL246",-513.122006883137,-511.125225933078,0.564750759785144,-2.05572761814719e-07,3.39024601291278e-05,"linear","linear"
"15","Bcells_NFkB_unstim",-314.942326527378,-317.404223756543,0.0378846817867046,-1.57303881520001e-05,-0.00187375740915611,"quadratic","acceleration/decrease"
"16","Bcells_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",-564.515140386853,-562.535588532337,0.134809269909888,4.28900943802566e-07,0.000160891954655307,"linear","linear"
"18","Bcells_S6_IL246",-514.09964484817,-512.604847980512,0.440667711286878,2.56373503103995e-06,0.000330693252734517,"linear","linear"
"19","Bcells_S6_LPS",-433.778600252433,-431.986294290284,0.118843453698559,2.20971272788712e-06,0.000420912918818616,"linear","linear"
"20","Bcells_S6_unstim",-28.6882419282443,-26.8373511881001,0.266969286468222,-8.30269056471456e-06,-0.000209393418727007,"linear","linear"
"21","Bcells_STAT1_IFNa",-96.6784772043255,-95.7697867341426,7.74525001226344e-12,-1.74634831462135e-05,0.00152328292647312,"linear","linear"
"22","Bcells_STAT1_unstim",-528.097886179403,-526.137728213005,0.207414845286045,6.84434156591484e-07,-4.45274539067617e-05,"linear","linear"
"23","Bcells_STAT3_IFNa",42.6502432192162,38.8993418874904,0.00279224346180291,-6.63410963048906e-05,-0.00483662275218618,"quadratic","deceleration/increase"
"24","Bcells_STAT3_IL246",-66.7639096020285,-65.2921882262426,0.0242320315837334,-1.35769173851371e-05,-0.000253340095516326,"linear","linear"
"25","Bcells_STAT3_unstim",-119.641119842696,-117.680961876298,0.207414845286045,3.07257648987724e-06,-0.000199893600736335,"linear","linear"
"26","Bcells_STAT5_IFNa",-37.2580395724617,-37.4242638805288,0.000490306088332193,-3.05511147438408e-05,-0.00104534415483073,"quadratic","deceleration/increase"
"27","Bcells_STAT5_IL246",-118.211145971171,-116.338991432177,0.000304803013394723,-5.53206863773833e-06,0.000941066300494078,"linear","linear"
"28","Bcells_STAT5_unstim",-208.105671527587,-206.143078055488,0.220179741738941,2.15059595000644e-06,-0.00014116041164067,"linear","linear"
"29","Bcells_STAT6_IFNa",43.9426479046186,38.4362399115248,0.022323566687176,-7.59109129880007e-05,-0.00725655466742849,"quadratic","deceleration/increase"
"30","Bcells_STAT6_IL246",187.947118291106,185.625411289058,0.0416411823225179,-9.83711098129588e-05,-0.00806216020474202,"quadratic","deceleration/increase"
"31","Bcells_STAT6_unstim",-215.957229034812,-213.997071068414,0.207414845286045,2.15634167002097e-06,-0.000140285816238708,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",-748.685506983318,-747.031938425342,0.0907747353938681,-8.96435487879015e-07,-2.24047713163602e-05,"linear","linear"
"33","CD4negCD8negTcells_CREB_IL246",-503.087267591099,-506.426616755328,0.044000377699476,-8.60244637972353e-06,-0.000965059624789291,"quadratic","acceleration/decrease"
"34","CD4negCD8negTcells_CREB_unstim",-446.588975194712,-449.081343704648,0.0224913061625953,-9.72740012293474e-06,-0.00119627085662629,"quadratic","acceleration/decrease"
"35","CD4negCD8negTcells_ERK_IFNa",-606.577315164561,-604.703985749228,0.666676471415224,9.1437360890569e-07,0.000120904525307512,"linear","linear"
"36","CD4negCD8negTcells_ERK_IL246",-446.101711086189,-452.571978273925,0.00610711534210163,-1.32841929177626e-05,-0.00150454173292285,"quadratic","acceleration/decrease"
