"","cytof","linear_fit","quadratic_fit","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",Inf,-Inf,NA,0,0,"linear","linear"
"2","Bcells_CREB_IL246",Inf,-Inf,NA,0,0,"linear","linear"
"3","Bcells_CREB_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"4","Bcells_ERK_IL246",91.7519112934689,-90.2073095474417,0.898679944331399,-0.00017856622877012,0.0103149754955834,"linear","linear"
"5","Bcells_ERK_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",64.902074718863,-64.7432546427403,0.810715365406266,0.000914126733455145,-0.0536972252247847,"linear","linear"
"7","Bcells_IkB_IL246",68.8422214916241,-67.8601185465286,0.930570960317931,0.000599063201531243,-0.0347656967822121,"linear","linear"
"8","Bcells_IkB_unstim",48.1827867452589,-46.4066376574143,0.787041409719117,-0.000595869540292861,0.0338219273621878,"linear","linear"
"9","Bcells_MAPKAPK2_IFNa",75.7176373845415,-73.8224574961182,0.107190094095432,0.000152839495073828,-0.00679360766813751,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",70.3194797730551,-68.322611737298,0.174630132699434,-3.20950466073922e-05,-0.00025170643514983,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",66.2428319941623,-65.1150109705975,0.188151417555929,0.00061004063598473,-0.0331696657978506,"linear","linear"
"12","Bcells_MAPKAPK2_unstim",26.8856329223594,-24.969483664129,0.751467699034193,0.000782237849139449,-0.0433282927049199,"linear","linear"
"13","Bcells_NFkB_IFNa",63.7605753307921,-62.2315444368988,0.356463006346775,0.000493332655620512,-0.0269609734921381,"linear","linear"
"14","Bcells_NFkB_IL246",57.3260047898264,-55.9641300234327,0.931660357527475,0.000720464106799701,-0.041772065210538,"linear","linear"
"15","Bcells_NFkB_unstim",37.6919651478616,-36.0691940807203,0.321414527321474,-0.00112203676534712,0.0604972496856912,"linear","linear"
"16","Bcells_p38_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",64.5982896256193,-62.6080239733818,0.816726183903963,6.94017562788502e-05,-0.00361628642669198,"linear","linear"
"18","Bcells_S6_IL246",56.1549743847344,-54.2491072539607,0.199170129924524,-0.000291335722180501,0.0136605234961188,"linear","linear"
"19","Bcells_S6_LPS",59.4495357416086,-57.456811921302,0.695668333630781,7.21186581499458e-05,-0.00333318859463954,"linear","linear"
"20","Bcells_S6_unstim",25.8315700423934,-24.0360143901424,0.512328534784096,-0.00126557636648117,0.068873949449493,"linear","linear"
"21","Bcells_STAT1_IFNa",7.73502223547115,-5.74238458291271,0.0514022465818446,-0.000459962332408111,0.0565347608343203,"linear","linear"
"22","Bcells_STAT1_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"23","Bcells_STAT3_IFNa",23.1144033430014,-21.3292851684121,0.0816416994714077,0.00142943549463474,-0.0682008693204349,"linear","linear"
"24","Bcells_STAT3_IL246",15.7846378402829,-13.9124209041338,0.258870613095436,-0.00143437899825666,0.0713514499972318,"linear","linear"
"25","Bcells_STAT3_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"26","Bcells_STAT5_IFNa",3.88353162548984,-1.88394070580757,0.571528344639849,0.000124425942407162,-0.0164242832351735,"linear","linear"
"27","Bcells_STAT5_IL246",9.01823626017207,-7.09864615516274,0.321582412928646,-0.00145010463546209,0.0709141956560509,"linear","linear"
"28","Bcells_STAT5_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"29","Bcells_STAT6_IFNa",6.51105352344108,-5.96262051193053,0.3990484008615,-0.00657679214946524,0.370631722681386,"linear","linear"
"30","Bcells_STAT6_IL246",17.2145289823403,-15.5984557823614,0.347433775461887,-0.00235175849945133,0.127441132942621,"linear","linear"
"31","Bcells_STAT6_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",74.50653035305,-72.5087481927804,0.66742311990703,-2.32572553758565e-05,0.00191276563429592,"linear","linear"
"33","CD4negCD8negTcells_CREB_IL246",42.2086592822029,-40.2091228259654,0.503098351295345,3.36983815091064e-05,0.000806903828940301,"linear","linear"
"34","CD4negCD8negTcells_CREB_unstim",45.3461918126531,-43.5112099323748,0.481101526370938,-0.000566747783835391,0.0304123368432762,"linear","linear"
"35","CD4negCD8negTcells_ERK_IFNa",78.9010637463287,-78.5400933409872,0.0267993678005121,0.000524995271929436,-0.0278584577782878,"linear","linear"
