"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"157","CD4Tem_STAT6_unstim",-279.678937133732,-278.538906391408,0.03222326987219,-0.000407806624646168,0.0227735145986366,"linear","linear"
"158","CD4Tnaive_CREB_IFNa",-1316.96789122105,-1317.40263813061,0.30327509613296,-2.15611730995318e-05,0.00139432559049968,"quadratic","deceleration/increase"
"159","CD4Tnaive_CREB_IL246",-1230.83489978189,-1233.38137570949,0.0989402513134283,-3.91246627228226e-05,0.0024999681649192,"quadratic","deceleration/increase"
"160","CD4Tnaive_CREB_unstim",-1479.23074084685,-1478.77968290491,0.748257694943308,-1.00277448397112e-05,0.00065793347137732,"linear","linear"
"161","CD4Tnaive_ERK_IFNa",-772.174447286309,-770.355827923984,0.539563081172991,-3.631105734923e-05,0.00254448067837323,"linear","linear"
"162","CD4Tnaive_ERK_IL246",-717.85476725116,-719.327751211567,0.18084309064213,-0.000189388196367525,0.0121913284628808,"quadratic","deceleration/increase"
"163","CD4Tnaive_ERK_unstim",-481.925009365992,-482.786986318311,0.0306649634901917,-0.000377849278252771,0.0226798697599263,"quadratic","deceleration/increase"
"164","CD4Tnaive_IkB_IFNa",-616.017964953016,-614.140380472793,0.207649758463664,-5.02069695842139e-05,0.00392920008288657,"linear","linear"
"165","CD4Tnaive_IkB_IL246",-617.097803869658,-616.515737809396,0.997971067368303,-0.000169892268497422,0.0109797709148234,"linear","linear"
"166","CD4Tnaive_IkB_unstim",-352.613588916722,-353.174136078303,0.013890759001467,-0.000550258677460713,0.0323253059299265,"quadratic","deceleration/increase"
"167","CD4Tnaive_MAPKAPK2_IFNa",-791.969885836461,-792.005408782867,0.000670934037563875,-0.000113523084320516,0.00843271826038455,"quadratic","deceleration/increase"
"168","CD4Tnaive_MAPKAPK2_IL246",-790.387536675199,-791.074736733134,0.257721124994399,-0.000130983443556333,0.0085511064827649,"quadratic","deceleration/increase"
"169","CD4Tnaive_MAPKAPK2_unstim",-506.19940669555,-506.073915123415,0.0783198657388002,-0.000282488851571646,0.0168772124847727,"linear","linear"
"170","CD4Tnaive_NFkB_IFNa",-619.425017964728,-617.450894506505,0.404512739559888,2.28263537333331e-05,-0.00192213284114706,"linear","linear"
"171","CD4Tnaive_NFkB_IL246",-588.871809530972,-586.915743888726,0.810377067834792,3.29308390068966e-05,-0.0022707337865492,"linear","linear"
"172","CD4Tnaive_NFkB_unstim",-322.944493665802,-324.644472506455,0.104731847712825,-0.00072883406917378,0.045750326013351,"quadratic","deceleration/increase"
"173","CD4Tnaive_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"174","CD4Tnaive_S6_IFNa",-810.287014854427,-809.404291097477,0.153677288605722,-7.92452404814639e-05,0.00552769220245337,"linear","linear"
"175","CD4Tnaive_S6_IL246",-770.331909953063,-768.365909126067,0.424032593772158,-1.58216444767153e-05,0.00128169498193712,"linear","linear"
"176","CD4Tnaive_S6_unstim",-206.330534827992,-204.562363883532,0.719366878489198,0.000270666072672226,-0.0167323968271756,"linear","linear"
"177","CD4Tnaive_STAT1_IFNa",44.7999046022232,37.6906549365518,5.79246706273563e-11,-0.00386142311326911,0.282009345049705,"quadratic","deceleration/increase"
"178","CD4Tnaive_STAT1_IL246",-74.9467874205495,-75.949743187797,0.000286978358411394,-0.00150251773649632,0.109434544136435,"quadratic","deceleration/increase"
"179","CD4Tnaive_STAT1_unstim",-373.875396710452,-371.926230550094,0.309652825416236,-7.25289355888937e-05,0.00345292504673537,"linear","linear"
"180","CD4Tnaive_STAT3_IFNa",194.144080920788,189.704717331696,0.00882776966522589,-0.00536464807512626,0.361153783103677,"quadratic","deceleration/increase"
"181","CD4Tnaive_STAT3_IL246",229.359924428148,230.467754209353,0.287043905003973,-0.00226632723604354,0.156154594414235,"linear","linear"
"182","CD4Tnaive_STAT3_unstim",33.9638597617999,35.3870542614178,0.691347945902786,0.000950553926797306,-0.0633166262716752,"linear","linear"
"183","CD4Tnaive_STAT5_IFNa",50.3255198843065,49.2087782671594,0.0551399817354972,-0.00232361246813366,0.158504443263274,"quadratic","deceleration/increase"
"184","CD4Tnaive_STAT5_IL246",37.5437753811332,37.1687257092395,0.116188940521386,-0.00194617277460889,0.132551999904613,"quadratic","deceleration/increase"
"185","CD4Tnaive_STAT5_unstim",-65.9546059067619,-63.955106871517,0.0139718985332386,-2.00972143721169e-05,0.00971008482096289,"linear","linear"
"186","CD4Tnaive_STAT6_IFNa",-154.239025341422,-165.679975383319,0.00132582581379477,-0.00239875888330925,0.155757957143838,"quadratic","deceleration/increase"
"187","CD4Tnaive_STAT6_IL246",89.3088364095229,87.1477021514452,0.0800206339358435,-0.00305211148481288,0.202900740848282,"quadratic","deceleration/increase"
"188","CD4Tnaive_STAT6_unstim",-274.687591963045,-275.894811573651,0.049881994855504,-0.000797641455619035,0.0486845162119359,"quadratic","deceleration/increase"
"189","CD56hiCD16negNK_CREB_IFNa",-459.636606290963,-458.123391147382,0.00200388752005245,0.000165038858268483,-0.00783477884127004,"linear","linear"
"190","CD56hiCD16negNK_CREB_IL246",-225.057036162388,-224.037642663792,0.0441926165074889,-0.000517751549865595,0.0374479673185067,"linear","linear"
"191","CD56hiCD16negNK_CREB_LPS",-490.127101988754,-488.149731492953,0.0231974039900191,3.21038860256682e-05,-0.000219375391924704,"linear","linear"
"192","CD56hiCD16negNK_CREB_unstim",-519.076691121944,-522.495864896503,0.000170776000939367,-0.000446117180817618,0.0261957376525676,"quadratic","deceleration/increase"
"193","CD56hiCD16negNK_ERK_IL246",-285.965863137778,-284.045929815986,0.708824167520058,-0.000120275982962977,0.00715816923980552,"linear","linear"
"194","CD56hiCD16negNK_ERK_unstim",-922.755008310837,-920.766413431134,0.348663650534139,5.23243423737029e-06,-0.000163448278562107,"linear","linear"
"195","CD56hiCD16negNK_IkB_IFNa",-383.250904206818,-381.408488490536,0.895571577598523,-0.000121829804207687,0.008017284346366,"linear","linear"
"196","CD56hiCD16negNK_IkB_IL246",-329.368587818152,-331.401137685281,0.0438436728723324,0.000730730437987193,-0.0450300186194718,"quadratic","deceleration/decrease"
"197","CD56hiCD16negNK_IkB_LPS",-356.735306272397,-356.6499323598,0.0202105376648455,0.000463352482093225,-0.0269256874569699,"linear","linear"
"198","CD56hiCD16negNK_IkB_unstim",-379.112507890701,-379.520030203719,0.0344892831473596,-0.000481100804592389,0.0285648648857181,"quadratic","deceleration/increase"
"199","CD56hiCD16negNK_MAPKAPK2_IFNa",-312.070389266603,-310.104222619073,0.149306869274732,-7.19297083357378e-05,0.00678864376744964,"linear","linear"
"200","CD56hiCD16negNK_MAPKAPK2_IL246",-139.211181507454,-137.556059635691,0.08780741405896,0.000412437970958774,-0.0220321670365705,"linear","linear"
"201","CD56hiCD16negNK_MAPKAPK2_LPS",-246.503735169856,-245.499821929627,0.0285359859026274,-0.000486999605321147,0.0355287052579995,"linear","linear"
