"","cytof","linear_aic","quadratic_aic","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",-1037.54206953096,-1037.35911653135,0.980596204462104,-3.60144197246072e-05,0.00233250055585238,"linear","linear"
"2","Bcells_CREB_IL246",-1078.7846091291,-1077.39752125378,0.559038738779834,-1.80136432418315e-05,0.00111915633022098,"linear","linear"
"3","Bcells_CREB_unstim",-1175.05855010911,-1175.45615248644,0.130128213698689,-2.49259132425905e-05,0.00153860982991085,"quadratic","deceleration/increase"
"4","Bcells_ERK_IL246",-853.586263335941,-855.565167154088,0.0527064567183602,-0.000104393193850413,0.00649721498964733,"quadratic","deceleration/increase"
"5","Bcells_ERK_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",-672.56731447759,-670.581436658597,0.21500695176474,1.21878336651372e-05,-0.000329064553958273,"linear","linear"
"7","Bcells_IkB_IL246",-669.360537713393,-669.027292342544,0.756798961207457,-0.000133571449095656,0.00854338117051947,"linear","linear"
"8","Bcells_IkB_unstim",-458.29953582986,-460.725061321672,0.0135064137250308,-0.000470501465590359,0.0287995880154244,"quadratic","deceleration/increase"
"9","Bcells_MAPKAPK2_IFNa",-573.040926045556,-571.767542327799,0.331062221181855,-0.000125883998876264,0.00868177513597522,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",-584.486911995336,-584.273305362517,0.376200296239947,-0.000188880137000007,0.0117910517979281,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",-537.539234193756,-538.484575823888,0.00304199182189523,-0.000287609364031828,0.0204771632678456,"quadratic","deceleration/increase"
"12","Bcells_MAPKAPK2_unstim",-307.436748080121,-307.293050350566,0.291409110893926,-0.00053311921224423,0.0330620103547911,"linear","linear"
"13","Bcells_NFkB_IFNa",-549.902734953635,-547.904846470963,0.192225916417172,7.3983948932081e-06,0.000281843128539675,"linear","linear"
"14","Bcells_NFkB_IL246",-513.05984315365,-511.068959964146,0.602980850755196,1.76028110593464e-05,-0.000794359484318592,"linear","linear"
"15","Bcells_NFkB_unstim",-315.966053165828,-318.92038666322,0.018050759971125,-0.000839288291370293,0.0519378933545717,"quadratic","deceleration/increase"
"16","Bcells_p38_unstim",-Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",-563.722661940579,-561.852092020641,0.2271996147782,-5.50415028668565e-05,0.00423835324884112,"linear","linear"
"18","Bcells_S6_IL246",-513.814962320767,-511.815009485524,0.574572761954782,1.26261496142481e-06,0.000291470684042136,"linear","linear"
"19","Bcells_S6_LPS",-432.911468420247,-430.937839958141,0.208574807805948,4.01962088653396e-05,-0.00147725263959301,"linear","linear"
"20","Bcells_S6_unstim",-28.1794655109198,-26.4793304642662,0.391969504342018,-0.000599909490125411,0.0422899706270488,"linear","linear"
"21","Bcells_STAT1_IFNa",-96.2540720350194,-98.2194083685943,1.31371048595721e-11,-0.00168714154963033,0.132364755430098,"quadratic","deceleration/increase"
"22","Bcells_STAT1_unstim",-527.647049410862,-525.693664822083,0.284214990261625,-3.77228433837836e-05,0.00176764500244154,"linear","linear"
"23","Bcells_STAT3_IFNa",43.5299400228759,40.1581328087749,0.00516733518809157,-0.00327449526391713,0.224280676394965,"quadratic","deceleration/increase"
"24","Bcells_STAT3_IL246",-67.4150901869696,-66.0103707078417,0.0167997008706182,-0.000731310184388992,0.055703029428178,"linear","linear"
"25","Bcells_STAT3_unstim",-119.190283074156,-117.236898485377,0.284214990261625,-0.000169346197287338,0.00793534984285214,"linear","linear"
"26","Bcells_STAT5_IFNa",-34.5843640533964,-35.6024328260153,0.00119494049546523,-0.00184967446476761,0.132739800524814,"quadratic","deceleration/increase"
"27","Bcells_STAT5_IL246",-119.168197450997,-117.30372567604,0.00018474890221313,-0.000288728632199823,0.0296067821926537,"linear","linear"
"28","Bcells_STAT5_unstim",-207.707745706927,-205.746454164632,0.291521098910513,-0.000111451695354341,0.00506063814835967,"linear","linear"
"29","Bcells_STAT6_IFNa",44.2008032579861,34.7273383435638,0.00364042029690858,-0.00474440448291527,0.308127250324279,"quadratic","deceleration/increase"
"30","Bcells_STAT6_IL246",188.151232315895,185.670751340308,0.0425746748235211,-0.00509760717536102,0.342751256455967,"quadratic","deceleration/increase"
"31","Bcells_STAT6_unstim",-215.506392266272,-213.553007677493,0.284214990261625,-0.000118847574038708,0.00556904786218035,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",-747.820154113277,-747.945329183423,0.129907863097424,-0.000112936896840883,0.00772209331554888,"quadratic","deceleration/increase"
"33","CD4negCD8negTcells_CREB_IL246",-503.484079752131,-506.573294110656,0.0409551393405078,-0.000426807778579718,0.0268458512760627,"quadratic","deceleration/increase"
"34","CD4negCD8negTcells_CREB_unstim",-446.746721079287,-448.302871321491,0.0329100782577642,-0.000440763181710974,0.0270055722790222,"quadratic","deceleration/increase"
"35","CD4negCD8negTcells_ERK_IFNa",-606.461939662197,-604.498185035008,0.788075777570483,-2.48961839207762e-05,0.0017411632601952,"linear","linear"
"36","CD4negCD8negTcells_ERK_IL246",-446.40824004139,-450.359976819206,0.0180123600811809,-0.00056842899101553,0.0355773898108557,"quadratic","deceleration/increase"
"37","CD4negCD8negTcells_ERK_unstim",-297.495050004551,-296.029600794714,0.0263633024175805,-0.000297455325525918,0.0159841745147567,"linear","linear"
"38","CD4negCD8negTcells_IkB_IFNa",-655.114394024287,-653.115137742014,0.188694937130959,2.98233859465518e-06,0.000328034417799278,"linear","linear"
"39","CD4negCD8negTcells_IkB_IL246",-647.697323972114,-646.035626046955,0.214546994312942,-6.53248473900749e-05,0.00474083123902491,"linear","linear"
"40","CD4negCD8negTcells_IkB_unstim",-441.086398548986,-439.448823412206,0.0168181768779237,-0.000144512516974004,0.00727037162513624,"linear","linear"
"41","CD4negCD8negTcells_MAPKAPK2_IFNa",-668.700914538592,-666.744334549456,0.000885734989060639,-2.16755724075524e-05,0.00268194655655791,"linear","linear"
"42","CD4negCD8negTcells_MAPKAPK2_IL246",-591.132723515543,-595.640685038023,0.0288148676878932,-0.000348785816982668,0.0230407847223515,"quadratic","deceleration/increase"
"43","CD4negCD8negTcells_MAPKAPK2_unstim",-396.119425898023,-397.812559646374,0.0377413080082909,-0.000540927464416703,0.033298432682929,"quadratic","deceleration/increase"
"44","CD4negCD8negTcells_NFkB_IFNa",-455.868878757026,-454.043283100512,0.73508347213325,-9.4977868735941e-05,0.00587915786852534,"linear","linear"
"45","CD4negCD8negTcells_NFkB_IL246",-443.219088322974,-441.24950028623,0.817424442080356,-4.15602826104257e-05,0.00249546170071509,"linear","linear"
"46","CD4negCD8negTcells_NFkB_unstim",-127.394302150546,-125.402492669467,0.0127060710118965,-6.88807638404856e-05,-0.00247183067069669,"linear","linear"
"47","CD4negCD8negTcells_p38_IFNa",-493.321731296821,-494.487150939033,0.138633754867711,-0.00035065221917751,0.0220676954822168,"quadratic","deceleration/increase"
"48","CD4negCD8negTcells_p38_unstim",-1260.41197778656,-1258.45859319778,0.284214990261625,-2.55046865610392e-06,0.000119511753872295,"linear","linear"
